FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
5,6,1,1,5,9,4,20,1,13,2,2
3,21,1,2,1,37,2,6,2,6,6,1
8,9,1,0,4,4,14,5,3,7,2,3
3,10,1,2,5,6,2,14,7,4,2,1
7,10,7,2,3,4,2,0,4,6,1,2
7,5,2,1,1,12,2,2,2,16,1,2
3,6,2,1,2,3,4,5,3,23,4,3
7,4,1,1,3,20,4,1,2,13,1,2
2,2,2,1,1,2,8,3,5,14,6,2
11,28,4,1,2,6,1,11,3,4,2,2
3,18,2,3,1,2,1,4,16,13,2,2
10,20,2,1,6,1,1,13,2,2,5,2
3,6,6,1,1,2,2,4,4,2,2,2
3,31,11,1,1,6,2,5,4,3,5,3
12,12,2,3,1,6,9,5,3,7,5,2
2,10,2,0,10,0,6,5,3,13,1,2
3,20,2,2,6,3,4,7,3,5,1,2
1,0,2,1,3,5,4,0,2,2,2,6
3,10,2,2,1,3,2,10,2,6,1,2
1,8,6,1,2,4,2,15,8,7,5,3
3,6,4,2,5,2,4,4,4,4,2,2
2,12,2,1,2,1,11,8,2,11,1,2
2,3,1,1,1,1,2,6,4,32,4,2
3,33,2,2,12,7,8,6,3,8,1,3
2,20,7,1,2,4,10,3,2,48,2,1
5,11,1,4,3,3,1,2,2,11,5,2
1,9,2,2,4,0,7,16,11,58,6,2
